Datetime,AAPL
2021-05-12 11:22:00-04:00,123.37999725341795
2021-05-12 11:23:00-04:00,123.36000061035156
2021-05-12 11:24:00-04:00,123.37000274658205
2021-05-12 11:25:00-04:00,123.2510986328125
2021-05-12 11:26:00-04:00,123.1449966430664
2021-05-12 11:27:00-04:00,123.11000061035156
2021-05-12 11:28:00-04:00,123.1999969482422
2021-05-12 11:29:00-04:00,123.16999816894531
2021-05-12 11:30:00-04:00,123.11000061035156
2021-05-12 11:31:00-04:00,122.97989654541016
2021-05-12 11:32:00-04:00,123.08000183105469
2021-05-12 11:33:00-04:00,123.18000030517578
2021-05-12 11:34:00-04:00,123.04499816894531
2021-05-12 11:35:00-04:00,123.06500244140624
2021-05-12 11:36:00-04:00,123.04000091552734
2021-05-12 11:37:00-04:00,123.06999969482422
2021-05-12 11:38:00-04:00,123.0
2021-05-12 11:39:00-04:00,123.06999969482422
2021-05-12 11:40:00-04:00,123.0199966430664
2021-05-12 11:41:00-04:00,123.16999816894531
2021-05-12 11:42:00-04:00,123.16999816894531
2021-05-12 11:43:00-04:00,123.21990203857422
2021-05-12 11:44:00-04:00,123.36000061035156
2021-05-12 11:45:00-04:00,123.2300033569336
2021-05-12 11:46:00-04:00,123.19120025634766
2021-05-12 11:47:00-04:00,123.13999938964844
2021-05-12 11:48:00-04:00,123.13839721679688
2021-05-12 11:49:00-04:00,123.1050033569336
2021-05-12 11:50:00-04:00,122.9000015258789
2021-05-12 11:51:00-04:00,122.88500213623048
2021-05-12 11:52:00-04:00,122.8000030517578
2021-05-12 11:53:00-04:00,122.87999725341795
2021-05-12 11:54:00-04:00,122.85900115966795
2021-05-12 11:55:00-04:00,122.80500030517578
2021-05-12 11:56:00-04:00,122.76499938964844
2021-05-12 11:57:00-04:00,122.7698974609375
2021-05-12 11:58:00-04:00,122.7699966430664
2021-05-12 11:59:00-04:00,122.81199645996094
2021-05-12 12:00:00-04:00,122.7249984741211
2021-05-12 12:01:00-04:00,122.66999816894531
2021-05-12 12:02:00-04:00,122.79090118408205
2021-05-12 12:03:00-04:00,122.71109771728516
2021-05-12 12:04:00-04:00,122.62680053710938
2021-05-12 12:05:00-04:00,122.6500015258789
2021-05-12 12:06:00-04:00,122.70140075683594
2021-05-12 12:07:00-04:00,122.79299926757812
2021-05-12 12:08:00-04:00,122.83499908447266
2021-05-12 12:09:00-04:00,122.69989776611328
2021-05-12 12:10:00-04:00,122.62000274658205
2021-05-12 12:11:00-04:00,122.62999725341795
2021-05-12 12:12:00-04:00,122.59500122070312
2021-05-12 12:13:00-04:00,122.60009765625
2021-05-12 12:14:00-04:00,122.37999725341795
2021-05-12 12:15:00-04:00,122.37000274658205
2021-05-12 12:16:00-04:00,122.44000244140624
2021-05-12 12:17:00-04:00,122.38999938964844
2021-05-12 12:18:00-04:00,122.56500244140624
2021-05-12 12:19:00-04:00,122.62989807128906
2021-05-12 12:20:00-04:00,122.61499786376952
2021-05-12 12:21:00-04:00,122.82009887695312
2021-05-12 12:22:00-04:00,122.80999755859376
2021-05-12 12:23:00-04:00,122.88999938964844
2021-05-12 12:24:00-04:00,122.87000274658205
2021-05-12 12:25:00-04:00,122.9749984741211
2021-05-12 12:26:00-04:00,122.97000122070312
2021-05-12 12:27:00-04:00,122.87999725341795
2021-05-12 12:28:00-04:00,122.84500122070312
2021-05-12 12:29:00-04:00,122.83000183105469
2021-05-12 12:30:00-04:00,122.79000091552734
2021-05-12 12:31:00-04:00,122.91999816894531
2021-05-12 12:32:00-04:00,123.01000213623048
2021-05-12 12:33:00-04:00,122.93000030517578
2021-05-12 12:34:00-04:00,122.9800033569336
2021-05-12 12:35:00-04:00,123.08580017089844
2021-05-12 12:36:00-04:00,122.87000274658205
2021-05-12 12:37:00-04:00,122.87999725341795
2021-05-12 12:38:00-04:00,122.8000030517578
2021-05-12 12:39:00-04:00,122.75499725341795
2021-05-12 12:40:00-04:00,122.64990234375
2021-05-12 12:41:00-04:00,122.70999908447266
2021-05-12 12:42:00-04:00,122.7300033569336
2021-05-12 12:43:00-04:00,122.65499877929688
2021-05-12 12:44:00-04:00,122.76000213623048
2021-05-12 12:45:00-04:00,122.62999725341795
2021-05-12 12:46:00-04:00,122.67579650878906
2021-05-12 12:47:00-04:00,122.74259948730469
2021-05-12 12:48:00-04:00,122.79000091552734
2021-05-12 12:49:00-04:00,122.70999908447266
2021-05-12 12:50:00-04:00,122.83999633789062
2021-05-12 12:51:00-04:00,122.95899963378906
2021-05-12 12:52:00-04:00,122.93000030517578
2021-05-12 12:53:00-04:00,123.0199966430664
2021-05-12 12:54:00-04:00,122.9749984741211
2021-05-12 12:55:00-04:00,122.96219635009766
2021-05-12 12:56:00-04:00,122.98500061035156
2021-05-12 12:57:00-04:00,122.9800033569336
2021-05-12 12:58:00-04:00,123.00859832763672
2021-05-12 12:59:00-04:00,123.0999984741211
2021-05-12 13:00:00-04:00,123.0199966430664
2021-05-12 13:01:00-04:00,123.28089904785156
2021-05-12 13:02:00-04:00,123.25499725341795
2021-05-12 13:03:00-04:00,123.31999969482422
2021-05-12 13:04:00-04:00,123.41999816894531
2021-05-12 13:05:00-04:00,123.3949966430664
2021-05-12 13:06:00-04:00,123.37999725341795
2021-05-12 13:07:00-04:00,123.24849700927734
2021-05-12 13:08:00-04:00,123.23999786376952
2021-05-12 13:09:00-04:00,123.28009796142578
2021-05-12 13:10:00-04:00,123.3499984741211
2021-05-12 13:11:00-04:00,123.4000015258789
2021-05-12 13:12:00-04:00,123.33070373535156
2021-05-12 13:13:00-04:00,123.04000091552734
2021-05-12 13:14:00-04:00,123.12000274658205
2021-05-12 13:15:00-04:00,123.06999969482422
2021-05-12 13:16:00-04:00,123.0500030517578
2021-05-12 13:17:00-04:00,123.02999877929688
2021-05-12 13:18:00-04:00,122.8949966430664
2021-05-12 13:19:00-04:00,122.85970306396484
2021-05-12 13:20:00-04:00,122.88500213623048
2021-05-12 13:21:00-04:00,122.9000015258789
2021-05-12 13:22:00-04:00,122.9499969482422
2021-05-12 13:23:00-04:00,122.88999938964844
2021-05-12 13:24:00-04:00,122.91500091552734
2021-05-12 13:25:00-04:00,122.93160247802734
2021-05-12 13:26:00-04:00,122.9000015258789
2021-05-12 13:27:00-04:00,122.88500213623048
2021-05-12 13:28:00-04:00,122.83999633789062
2021-05-12 13:29:00-04:00,122.86630249023438
2021-05-12 13:30:00-04:00,122.89540100097656
2021-05-12 13:31:00-04:00,122.8499984741211
2021-05-12 13:32:00-04:00,122.79000091552734
2021-05-12 13:33:00-04:00,122.71820068359376
2021-05-12 13:34:00-04:00,122.7300033569336
2021-05-12 13:35:00-04:00,122.8397979736328
2021-05-12 13:36:00-04:00,122.83000183105469
2021-05-12 13:37:00-04:00,122.88839721679688
2021-05-12 13:38:00-04:00,123.04010009765624
2021-05-12 13:39:00-04:00,122.98989868164062
2021-05-12 13:40:00-04:00,122.91000366210938
2021-05-12 13:41:00-04:00,122.77770233154295
2021-05-12 13:42:00-04:00,122.7750015258789
2021-05-12 13:43:00-04:00,122.81999969482422
2021-05-12 13:44:00-04:00,122.79979705810548
2021-05-12 13:45:00-04:00,122.6999969482422
2021-05-12 13:46:00-04:00,122.63500213623048
2021-05-12 13:47:00-04:00,122.69000244140624
2021-05-12 13:48:00-04:00,122.70999908447266
2021-05-12 13:49:00-04:00,122.66999816894531
2021-05-12 13:50:00-04:00,122.66500091552734
2021-05-12 13:51:00-04:00,122.6500015258789
2021-05-12 13:52:00-04:00,122.71009826660156
2021-05-12 13:53:00-04:00,122.76499938964844
2021-05-12 13:54:00-04:00,122.80999755859376
2021-05-12 13:55:00-04:00,122.80999755859376
2021-05-12 13:56:00-04:00,122.88999938964844
2021-05-12 13:57:00-04:00,122.81500244140624
2021-05-12 13:58:00-04:00,122.7300033569336
2021-05-12 13:59:00-04:00,122.70999908447266
2021-05-12 14:00:00-04:00,122.62999725341795
2021-05-12 14:01:00-04:00,122.64009857177734
2021-05-12 14:02:00-04:00,122.67829895019531
2021-05-12 14:03:00-04:00,122.67449951171876
2021-05-12 14:04:00-04:00,122.61229705810548
2021-05-12 14:05:00-04:00,122.5999984741211
